12:19:35:639 -> Servo_poss:1
12:19:35:654 -> Direction:0
12:19:35:654 -> Servo_pos:1
12:19:35:751 -> Direction:0
12:19:35:751 -> Servo_pos:1
12:19:35:751 -> Direction:0
12:19:35:754 -> Servo_pos:1
12:19:35:754 -> Direction:0
12:19:35:756 -> Servo_pos:1
12:19:35:756 -> Direction:0
12:19:35:756 -> Servo_pos:1
12:19:35:759 -> Direction:0
12:19:35:759 -> Servo_pos:1
12:19:35:764 -> Direction:0
12:19:35:764 -> Servo_pos:1
12:19:35:764 -> Direction:0
12:19:35:766 -> Servo_pos:1
12:19:35:766 -> Direction:0
12:19:35:834 -> Servo_pos:1
12:19:35:834 -> Direction:0
12:19:35:834 -> Servo_pos:1
12:19:35:839 -> Direction:0
12:19:35:839 -> Servo_pos:1
12:19:35:841 -> Direction:0
12:19:35:841 -> Servo_pos:1
12:19:35:841 -> Direction:0
12:19:35:844 -> Servo_pos:1
12:19:35:844 -> Direction:0
12:19:35:846 -> Servo_pos:1
12:19:35:846 -> Direction:0
12:19:35:846 -> Servo_pos:1
12:19:35:849 -> Direction:0
12:19:35:849 -> Servo_pos:1
12:19:35:853 -> Direction:0
12:19:35:853 -> Servo_pos:1
12:19:35:853 -> Direction:0
12:19:35:858 -> Servo_pos:1
12:19:35:858 -> Direction:0
12:19:35:859 -> Servo_pos:1
12:19:35:859 -> Direction:0
12:19:35:859 -> Servo_pos:1
12:19:35:859 -> Direction:0
12:19:35:859 -> Servo_pos:1
12:19:35:859 -> Direction:0
12:19:35:859 -> Servo_pos:1
12:19:35:862 -> Direction:0
12:19:35:862 -> Servo_pos:1
12:19:35:864 -> Direction:0
12:19:35:864 -> Servo_pos:1
12:19:35:864 -> Direction:0
12:19:35:866 -> Servo_pos:1
12:19:35:866 -> Direction:0
12:19:35:869 -> Servo_pos:1
12:19:35:869 -> Direction:0
12:19:35:869 -> Servo_pos:1
12:19:35:967 -> Direction:0
12:19:35:967 -> Servo_pos:1
12:19:35:969 -> Direction:0
12:19:35:969 -> Servo_pos:1
12:19:35:969 -> Direction:0
12:19:35:971 -> Servo_pos:1
12:19:35:971 -> Direction:0
12:19:35:971 -> Servo_pos:1
12:19:35:971 -> Direction:0
12:19:35:971 -> Servo_pos:1
12:19:35:974 -> Direction:0
12:19:35:974 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:060 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:060 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:060 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:060 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:060 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:060 -> Servo_pos:1
12:19:36:060 -> Direction:0
12:19:36:061 -> Servo_pos:1
12:19:36:061 -> Direction:0
12:19:36:067 -> Servo_pos:1
12:19:36:067 -> Direction:0
12:19:36:067 -> Servo_pos:1
12:19:36:070 -> Direction:0
12:19:36:070 -> Servo_pos:1
12:19:36:070 -> Direction:0
12:19:36:070 -> Servo_pos:1
12:19:36:070 -> Direction:0
12:19:36:072 -> Servo_pos:1
12:19:36:072 -> Direction:0
12:19:36:074 -> Servo_pos:1
12:19:36:074 -> Direction:0
12:19:36:074 -> Servo_pos:1
12:19:36:078 -> Direction:0
12:19:36:078 -> Servo_pos:1
12:19:36:078 -> Direction:0
12:19:36:078 -> Servo_pos:1
12:19:36:078 -> Direction:0
12:19:36:078 -> Servo_pos:1
12:19:36:153 -> Direction:0
12:19:36:153 -> Servo_pos:1
12:19:36:153 -> Direction:0
12:19:36:153 -> Servo_pos:1
12:19:36:155 -> Direction:0
12:19:36:161 -> Servo_pos:1
12:19:36:161 -> Direction:0
12:19:36:161 -> Servo_pos:1
12:19:36:164 -> Direction:0
12:19:36:164 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:174 -> Servo_pos:1
12:19:36:174 -> Direction:0
12:19:36:176 -> Servo_pos:1
12:19:36:176 -> Direction:0
12:19:36:176 -> Servo_pos:1
12:19:36:238 -> Direction:0
12:19:36:238 -> Servo_pos:1
12:19:36:240 -> Direction:0
12:19:36:240 -> Servo_pos:1
12:19:36:240 -> Direction:0
12:19:36:245 -> Servo_pos:1
12:19:36:245 -> Direction:0
12:19:36:248 -> Servo_pos:1
12:19:36:248 -> Direction:0
12:19:36:248 -> Servo_pos:1
12:19:36:250 -> Direction:0
12:19:36:250 -> Servo_pos:1
12:19:36:255 -> Direction:0
